code_param_id	code_param	method_id	method	bandwidth	max_load
a	(4,4),2	a	RDRE	58215.333333333336	2650.3333333333335
a	(4,4),2	b	BWRE	55000.666666666664	2499.0
a	(4,4),2	c	BTRE	55015.0	2295.0
a	(4,4),2	d	RDPM	47747.333333333336	2090.6666666666665
a	(4,4),2	e	BWPM	7201.0	510.0
a	(4,4),2	f	BTPM	7219.666666666667	319.0
a	(4,4),2	g	BT	7269.666666666667	316.0
b	(6,4),2	a	RDRE	80428.66666666667	2816.3333333333335
b	(6,4),2	b	BWRE	75000.0	2591.6666666666665
b	(6,4),2	c	BTRE	75011.0	2352.6666666666665
b	(6,4),2	d	RDPM	51161.666666666664	1703.3333333333333
b	(6,4),2	e	BWPM	9221.666666666666	452.0
b	(6,4),2	f	BTPM	9244.333333333334	304.0
b	(6,4),2	g	BT	9273.333333333334	298.3333333333333
c	(8,4),2	a	RDRE	102814.0	2962.3333333333335
c	(8,4),2	b	BWRE	95000.66666666667	2714.6666666666665
c	(8,4),2	c	BTRE	95010.33333333333	2402.0
c	(8,4),2	d	RDPM	54295.333333333336	1463.6666666666667
c	(8,4),2	e	BWPM	10579.333333333334	435.0
c	(8,4),2	f	BTPM	10615.0	284.0
c	(8,4),2	g	BT	10666.666666666666	281.6666666666667
d	(12,4),2	a	RDRE	0	0
d	(12,4),2	b	BWRE	0	0
d	(12,4),2	c	BTRE	0	0
d	(12,4),2	d	RDPM	0	0
d	(12,4),2	e	BWPM	0	0
d	(12,4),2	f	BTPM	0	0
d	(12,4),2	g	BT	0	0
e	(16,4),2	a	RDRE	0	0
e	(16,4),2	b	BWRE	0	0
e	(16,4),2	c	BTRE	0	0
e	(16,4),2	d	RDPM	0	0
e	(16,4),2	e	BWPM	0	0
e	(16,4),2	f	BTPM	0	0
e	(16,4),2	g	BT	0	0
